Pelaaja,Joukkue,O,M,S,P,Min
Rantasalmi Noah,SJK Akatemia,2,0,0,0,45
Savini Sebastian,SJK Akatemia,2,0,0,0,135
Serdarevic Amar,SalPa,2,0,0,0,30
Sihvonen Atte,TPS,2,0,0,0,180
Sillah Samba,PK-35,2,0,0,0,13
Sipi Rasmus,PK-35,2,0,0,0,180
Sulaiman Shehu,SJK Akatemia,2,0,0,0,150
Tapani Joona,JäPS,2,0,0,0,179
Toivonen Ilmo,HJK Klubi 04,2,0,0,0,164
Tolonen Maximo,PK-35,2,0,0,0,82
Traore Aaron,HJK Klubi 04,2,0,0,0,118
Vesterbacka Leon,SJK Akatemia,2,0,0,0,61
Abdel Kawy Ali,SalPa,3,0,0,0,85
Abdi Ayuub,PK-35,3,0,0,0,90
Abdi Thabit,SalPa,3,0,0,0,33
Ahmed-Nur Ayuub,PK-35,3,0,0,0,212
Ameen Mustafa,HJK Klubi 04,3,0,0,0,96
Augusto Ferreira Martim,FC Lahti,3,0,0,0,165
Belabid Amir,FC Lahti,3,0,0,0,83
Beyai Mustafa,PK-35,3,0,0,0,133
Collin Elias,TPS,3,0,0,0,202
Efimov Stanislav,EIF,3,0,0,0,130
Etu Francis Gerrald,HJK Klubi 04,3,0,0,0,97
Forsström Alexander,EIF,3,0,0,0,270
Haapiainen Willem,KäPa,3,0,0,0,65
Hahl Hugo,JäPS,3,0,0,0,129
Hakanpää Olli,TPS,3,0,0,0,270
Hannula Otto,HJK Klubi 04,3,0,0,0,270
Hautamäki Elari,SJK Akatemia,3,0,0,0,183
Heikurinen Niilo,KäPa,3,0,0,0,244
Heinonen Jan,SalPa,3,0,0,0,238
Huhtamäki Reko,KäPa,3,0,0,0,42
Huovinen Joel,KäPa,3,0,0,0,270
Inkinen Topias,FC Lahti,3,0,0,0,270
Jouhi Adam,KäPa,3,0,0,0,228
Kangaskokko Taavi,SJK Akatemia,3,0,0,0,91
Kari Jere,HJK Klubi 04,3,0,0,0,270
Konttas Valo,HJK Klubi 04,3,0,0,0,71
Korsunov Sander,SJK Akatemia,3,0,0,0,198
Koskinen Otso,FC Lahti,3,0,0,0,92
Lehto Eero,SJK Akatemia,3,0,0,0,254
Lika Yllson,KäPa,3,0,0,0,235
Lindberg Pontus,KäPa,3,0,0,0,216
Louramo Aarne,TPS,3,0,0,0,3
Mehmeti Albin,SalPa,3,0,0,0,181
Mikkonen Antto,SalPa,3,0,0,0,270
Munukka Anton,FC Lahti,3,0,0,0,135
Nakanishi Juta,PK-35,3,0,0,0,100
Partanen Janne,Jippo,3,0,0,0,89
Peltola Asla,FC Lahti,3,0,0,0,163
Piispa Aleksi,KäPa,3,0,0,0,261
Pimentel Lucas,EIF,3,0,0,0,84
Pozo Hernandez Adrian,SJK Akatemia,3,0,0,0,180
Prince Ume Kenny,KäPa,3,0,0,0,126
Rautiainen Otto,SalPa,3,0,0,0,210
Räsänen Karo,PK-35,3,0,0,0,225
Saarenkunnas Santeri,Jippo,3,0,0,0,21
Salmi Joonas,KäPa,3,0,0,0,90
Tiainen Joona,FC Lahti,3,0,0,0,135
Uchiyama Shunta,PK-35,3,0,0,0,207
Valakari Toivo,KäPa,3,0,0,0,34
Viljala Ville,PK-35,3,0,0,0,270
Väkiparta Tomi,TPS,3,0,0,0,170
Adu Enock Kofi,EIF,4,0,0,0,315
Grönblom William,EIF,4,0,0,0,232
Haataja Niklas,Jippo,4,0,0,0,270
Haikonen Peetu,JäPS,4,0,0,0,230
Heikkinen Daniel,FC Lahti,4,0,0,0,313
Jama Omar,JäPS,4,0,0,0,360
Jokiranta Viljami,FC Lahti,4,0,0,0,264
Järvinen Topi,JäPS,4,0,0,0,216
Kostian Jasper,FC Lahti,4,0,0,0,196
Laamanen Eemil,FC Lahti,4,0,0,0,360
Nikki Jesse,JäPS,4,0,0,0,242
Olsbo Valtteri,SalPa,4,0,0,0,237
Palmasto Tino,JäPS,4,0,0,0,270
Piirainen Pyry,Jippo,4,0,0,0,360
Pöysä Severi,SalPa,4,0,0,0,347
Rrustemi Ermal,SalPa,4,0,0,0,84
Sairinen Akim,TPS,4,0,0,0,306
Tykkyläinen Nuutti,Jippo,4,0,0,0,360
Vesiaho Valtteri,Jippo,4,0,0,0,356
Viitaniemi Eetu,Jippo,4,0,0,0,295
Watanabe Junnosuke,Jippo,4,0,0,0,360
Ölander Henrik,JäPS,4,0,0,0,343
